id	topic	score	text
639835421548126209	game of thrones	2	Thanks again for the amazing gift @Mattew , I can't wait to watch all the 2nd season again of Game of Thrones!... http://t.co/r4mtcAIHIq
636491223235170304	pride parade	0	@bootif1 There will be some road closures on Saturday for the Pride Parade, details can be found here: http://t.co/nFmDzHmWL4
641444085375586304	netflix	0	I need to find a movie to watch . The only time I actually watch tv is on Sunday's and Monday's other then that it's either Hulu or Netflix
641429366761762817	disneyland	1	i may be a big old grump in places children tend to be but you just can't be a grump at disneyland you're a kid too at disneyland
640416883678707712	apple watch	1	Still love how the Apple Watch mimics the 1st Generation iPhone Design http://t.co/HwDcgbF5We
640749076250804224	arsenal	0	I thought Arsenal were the ones who were supposed to have this  https://t.co/ETwSjRZlOb
636084094925848576	ihop	0	If I go to ihop tomorrow I'm gonna feel like I'm cheating on Denny's and idk how I feel about that /:
641458438510354432	netflix	1	Netflix addiction problems: it's midnight, I have to get up early tomorrow, and I want to watch everything. #notenoughhoursinaday
637651707325841408	sarah palin	-2	Sarah Palin's brain aged like a tub of sour cream left in the sun.
640279729820536832	kerry	1	@HRHgearoid I'm pretty sure the most of the country was supporting Mayo. I'm sure Kerry will be there natural selves in 2 Sunday's time.
633810099472060416	kurt cobain	-1	I love REM but Sweetness Follows may be the most depressing song ever. Kurt Cobain may have even killed himself whilst listening to it ffs.
633743702335209474	oracle	1	With one of the greatest UX innovators, during Oracle's MDC 5th anniversary celebration. #PlungInOracleDay https://t.co/D9SrMzlO82
632726938130481152	game of thrones	0	http://t.co/eSn3GEui3b Mentioned in Babylon 5 (the name of episode in 4th season) and Game of Thrones (4th episode, 2nd season) #popculture
629069918315544580	amazon prime	-1	Heads up: An important change to Amazon Prime effective August 1 will limit how you can share free P... http://t.co/BndStpoVJq @debtblag
627544225278754816	pride parade	1	Such a brilliant day in buzzing Brighton! Pride parade, sun and beach! Just wish @tjgdance and @EdwinJRay could have enjoyed it avec moi!
628705161431621632	grateful dead	1	Now On Sale! Mindbender: Tribute to the Grateful Dead @ Owsley's Golden Road Boulder CO / Aug 15th 2015 7:00pm http://t.co/nbI5NgUdnf
641613383331151872	jay-z	0	#NowPlaying December 4th by Jay-Z from the album: The Black Album
641387404255985664	hillary	-2	@ABCPolitics @ABC @DavidMuir OMGosh! HIllary still using her deceased Mom as a PROP to save herself from her own lies. ~May she RIP.
621499189248307202	amazon prime day	0	Only TWO spots remain in my July 26th camera workshop. There's just two hours left to get my Amazon Prime Day... http://t.co/BMvufAURd7
641434348642676736	serena	1	"Sisterly love: After beating older sis Venus in 3rd set match at @usopen, Serena says, ""She's the best person I know."" (Cc:@alexa_pollock)"
638877048195411968	snoop dogg	0	Snoop Dogg cancelled his performance at the fair tomorrow... Turns out he had a prior commitment for Mitch-a-Palooza.
641434709948530688	harper	1	Werth, Rendon, and Harper due up in the bottom of the 9th, #Nats trail Mets 8-7.
641606659454832640	iphone	2	Can't wait to see the new iPhone tomorrow. And final can update my apple watch to OS2
632248794965393409	mariah carey	1	Best part of getting to the office first = choosing Friday tunes. (S/O to Mariah Carey.)
631168990476402688	bentley	0	"Hope you are having an ""eggcellent"" Tuesday!  The omelet was for Bentley and I. http://t.co/8ziqZ7D9p4"
641514213085736960	bbc	0	Hope the BBC is mistaken in its forecast for snow on Saturday... http://t.co/efhHLNKpyo
638670432464297989	juventus	0	Juventus sign Inter midfielder Harnanes: Turin, Sep 1 : Italian football champions Juventus have bolstered the... http://t.co/bn03KmrtHv
641396881801785345	google	0	Google is surprisingly unhelpful at providing the cubic oxygen intake per minute of an average adult weasel.  C'mon Google get it together.
637336924651261952	sarah palin	-1	Sarah Palin may be the only reporter Donald Trump wants to have on his campaign bus because she asks only questions Trump needs her to ask.
641616340210487296	david cameron	0	Israel protects Europe from extreme Islam: He will meet with Prime Minister David Cameron on Thursday to discu... http://t.co/KGA5JggitK
633477117720723456	seinfeld	0	@BryanCranston aren't you that dentist from Seinfeld. Have you been in anything else I may have seen?
624797206973935616	digi	1	Digi is mixing it up tonight, Lets get taco!!!!!!! https://t.co/YUmRQnSibh
641535770252210176	bbc	0	Still waiting to hear from the BBC re the number of complaints about the #Panorama programme ...  @BBCPolitics  https://t.co/4jUlKj0hu5
635513629756932096	bentley	0	@Miranda_N_Music I figure Bentley was worse because he strung Ashley along for weeks when he didn't like her at all. But Joe's a close 2nd!
640826715271331841	ipod	0	@KANYESIVAN nice, smallzy retweeted me during the wild premier on thursday and i dropped my ipod whoops
641291660920422400	hillary	-1	@ConManBO @laurarubin7 @realDonaldTrump . Maybe he realizes Hillary is a liar and Bernie may take his hard earned millions.
627221087353470976	eric church	1	Eric Church plays new *never heard before* song about his son in Nashville July 30th. Performance HERE http://t.co/0XcL2h7eN0
639691314020397056	batman	1	In other news im off for the 1st weekend in 5 weeks... And ive a Batman game to be starting!
631561607584325632	seinfeld	1	my post about Seinfeld being on TV today will be up first thing tomorrow.  https://t.co/0tnYHpDo0c
641262136266625025	chris brown	1	chris brown is gonna be at the game next sunday all is good
637220843169320960	nokia	0	@TheGadgetShow HELSINKI (Reuters) - Finnish telecom equipment maker Nokia on Friday said it has agree... http://t.co/GqeY2slwSI #Gadgets
641483510939713537	google	1	@realmichellet @instagram Do you have a google plus account if so may i have the link to it?
640357293410795520	bernie sanders	1	@gop_reaper @ginou1010 Now, now, some of them are coming over to support Bernie Sanders, because he makes sense, but then they may agree?
641261396697718784	hannibal	1	@FrygtCanophilis Hannibal removes his hand from your forehead, Will's temperature was back again. He sat down beside the younger man -
628146605930078208	google+	-1	If they ban all p0rn in India, Chrome's Incognito window may be the next thing to die after Google+.
638355525193732097	madonna	1	"The thing about being older is that when I see people like Miley dressing the way she does, all I think is ""Meh, Madonna did it 1st."""
636660777991057408	oracle	0	Oracle - Stock Market Crash Black Wednesday Rally Crushes the Bears http://t.co/e1TgEFZsZl
641016534337392640	beyonce	1	@dinahjane97 Dinah, Taylor just followed Beyonce on twitter and wednesday she will perform in Houston.... bye
635951148332093441	nokia	1	It looks like Nokia may be positioning for a strong return to the mobile hardware market following a license with...https://t.co/k2q1uKd0eT
632207300514721792	oracle	0	Ruby Tuesday Streamlines Hiring and Onboarding of Team Members with Oracle Talent Management Cloud #HCM http://t.co/rZ1GFnNxRm
634005885371711489	@microsoft	1	Have you heard the news? Our next meetup is on September 10th with Ryan Berry of @Microsoft! RSVP now for free -&gt; http://t.co/QOp26oct4f
638201443044868096	michael jackson	1	@NICKIMINAJ today you try to destroy a Sir Mix-a-Lot hit - tomorrow Michael Jackson? WRITE YOUR OWN DAMN HOOKS!
640001012275654657	messi	1	@SivanJohn LOL the finishing was quite similar to Messi's 2nd goal against Bayern.
641050683731496960	amazon prime	1	See how cute she is on her day off? I spent my day off in my pjs watching the 1st season of Survivor on Amazon Prime http://t.co/wns6D1ZTiU
637151260848746496	jeb bush	-1	.@StephenAtHome  #baddecisions You make me not want to watch your show(s) by having Jeb BUSH as 1st show guest @CBS @JulieChen #NOCOLBERT
631572925313904640	jurassic world	0	Watch Jurassic World on August 27 right here at the park with @PayPalCA! http://t.co/ZoB4kdeMzK #WonderfulCanHappen http://t.co/q4AGIUTHTY
641588327192350721	google	0	@DrMatthewSweet @mudlarklives Ah, google has her alive on the 1st June (Express interview) as does wikipedia but.... http://t.co/p0PS2LAz3I
635566111673585665	galaxy note	0	Camera comparison: Galaxy Note 5 vs iPhone 6 Plus - Forgot password? We'll email you a reset link. If you signed up using a 3rd ...
641600056404131840	apple	0	Wednesday Apple reveals their new products...so u should set up an appt w/ your financial planner around the same time
626279624641658884	erdogan	0	Erdogan: Peace process with Kurdish militants impossible  http://t.co/1F3riULRQc
637599917687615488	oracle	0	Oracle lead at the bottom gate, didn't see where it happened, but ETNZ go past us and are 2nd at the gate... @btsport  #BringTheCupHome
641340813448900608	hillary	0	Keep in mind, Hillary's initial refusal to apologize wasn't off the cuff. It came after months of scrutiny. https://t.co/GiraU5N5Fh
641645846921003008	apple	0	#apple A look at the evolution of Apple's iPhone: Apple will unveil the new iPhone on Wednesday. The next iPho... http://t.co/TEDe4E4fuA
627769516588556288	david beckham	1	David Beckham keeps it stylish in jean shirt and white trousers after attending Guy Ritchie's wed... http://t.co/TvgcoUussR #TheIrfanism
620143400646496256	conor mcgregor	1	Conor McGregor breathtaking! 2nd TKO over Chad Mendes, now let's see if Jose Aldo mans the f*** up and fights you.
629636241777119232	lexus	1	.@washingtonpost alleges that Lexus dealers are besieged with haggling-averse millennials eager to pay asking price: http://t.co/F1W7P2MHBL
640636969849122818	donald trump	-1	"Prayer Requests From Sunday Mass: ""God, please allow Donald Trump to win the presidency, so that I will not be going to hell alone"""
638219008542535680	@microsoft	-1	@Microsoft may you PLEASE release versions of Windows when its stable Windows 10 is no where near stable!
631062393204817920	rick perry	-1	Rick Perry has stopped paying staff &amp; rumors of Rand Paul implosion are everywhere. Are these the 1st 2 out?
638757049808068608	joe biden	1	"P2016: AFL-CIO Pres Dick Trumka to march with Joe Biden in Labor Day parade.""People can read into that...what they want. He's a good friend"""
639867028761763840	beyonce	2	It's Friday. It's Beyonce's birthday. It's a good day. #HappyBirthdayBeyonce http://t.co/NYHMexCcL3
641452712098406400	ihop	0	do you work at Ihop tomorrow @carlysunshine_
640679828413255681	donald trump	0	Does Donald Trump know they do tours of the White House? With like people and stuff? People that may or may not have washed their hands?
641040382688653312	grateful dead	0	Grateful Dead July 4, 2015 Set One - Fare Thee Well from the PIT Tripod http://t.co/bBGO4C1EE7
632243362347753473	bentley	0	@TomRoss_ @LukeLukedavis99 offer is above 1m. Bentley won't be in the squad tomorrow I don't think
629771742744039424	metlife	0	I may haven't been close to Louis at MetLife but he didn't seem unhappy at all
638069712484564992	grateful dead	1	"Grateful Dead Open 2nd Set with ""Cold, Rain and Snow"" https://t.co/N0AJke3MAA via @YouTube"
641594978251186176	google	0	@johnnyapps1978 may be able to find out same info with Google
633295843198652416	jurassic world	0	Off to see Jurassic World tomorrow at the cinema, any good?? @RoseEllenDix @RoxeteraRibbons
638432473953734657	hannibal	-1	I met Em and Blaine through Hannibal. I may have my issues with the show but I'm modest enough to respect that.
628150426156838912	snoop dogg	0	Italian police stopped California rapper Snoop Dogg on Friday as he prepared to board a private plane bound for... http://t.co/DH38uKpUZI
637707030183022592	barca	0	I hope that Barca does a lot more better in the 2nd half then in the 1st half.
634432057846968321	galaxy note	1	Because @TMobile still hasn't put a pre order button for the Galaxy Note 5 on the website, I'm going to a store tomorrow to pick it up.
641484744065200128	justin	2	@justinbieber I Hope All Is Fantastic For you, where ever you may be!!!! =D With that, much love to you Justin, all your friends
640967476306546688	grateful dead	2	I love the Grateful Dead. I do not love weed. Just making sure you all know this.  https://t.co/8D05thMF4I
639808490249318402	snoop dogg	1	Snoop Dogg didn't start saying -izzle but he was the first to say something else! Find that out and more: Monday after Labor Day from 6-7pm!
640144911350804480	arsenal	0	@JohnJig @HuwWilliams13 @Johnny_G86 No I vehemently disagree, if Wenger was as past it as you say, Arsenal would not have finished 4th as
627106489371598848	erdogan	0	Erdogan to hold talks with Nawaz during stopover #nawazsharif @RT_Erdogan #PakTurkties #PMLN http://t.co/Z1OQdI2a1Y http://t.co/kbO1EqHcLl
629302480933785600	google+	0	If your going to do a google+ hangout beware and watch this 1st ALL Motovloggers!!! WATCH THIS!!!!! https://t.co/H8MvlLpXJ0 via @YouTube
637665206198534144	david beckham	2	@Real_Liam_Payne Happy 12th Birthday David Beckham!!! &lt;3 Love you!
641321849410965504	harry potter	1	On October 6th illustrated Harry Potter comes out and McDonald's starts serving breakfast all day.
640411153911287808	nintendo	-1	There is a certain cult classic game, the 3rd in its series, that we have been waiting for in the US but Nintendo refuses to release it
641432981916229632	harper	1	@maryb889 Still have the 9th &amp; top of order!  Harper walkoff homer!
639191194803638272	apple watch	1	Apple iPad Pro might be announced on September 9 event along with smart bands for Apple Watch.
625104359706066944	ric flair	1	Ric Flair is also telling friends he may replace Hogan on #ToughEnough
625333005301628929	ric flair	0	29 years ago today, July 26, 1986 Dusty Rhodes won his 3rd and final NWA World title by defeating Ric Flair at the Great American Bash.
630323155547111428	kurt cobain	1	@LIVA_GOTTA i wake up feeling good on a Sunday and you bring me back to this world of kurt cobain and lion bars. So tired of you
639956939066208256	michael jackson	0	Michael Jackson may have had Thriller, but the Fat Boys had Freddy Krueger. http://t.co/H6hJbVNvLi
641374584860725248	ipod	1	i went through my old iPod nano and I still listen to the same music I did in 5th grade..chili peppers, green day, the killers, blink omfg
637275001490644993	joe biden	1	Starting to hope Joe Biden enters the race. It may just be time for an alternative. A debate between Joe and Trump would be epic.
635295403781586945	kurt cobain	1	"""And I'm glad you're feeling much better. You're still very pale, though! A little sun..."" - Kurt Cobain 1967-1993"
639842069754724352	scotus	1	You say it's not a right. SCOTUS says it is. Constitution says we follow SCOTUS. Fucking done! https://t.co/iyANr58fvq
637661763354300416	lexus	2	This weekend is a #GoldenOpportunity to get the Lexus you've been dreaming about all summer! Come see us! We're open today and tomorrow!
641651953932587009	iphone	0	@ScreenWellcome  Ah, bizarrely I see it on my iPhone, but not on laptop with Safari, which only has 1st 3 tabs.  Weird.
639429903855788032	barca	0	Can only mean one thing: he is joining Barca - probably in January.
621546116929208320	amazon prime day	-1	Amazon Prime Day is not the new Black Friday as British retailers have little appetite for mega sales... yet. http://t.co/JgLdIuLtHE
641628310938779648	labor day	1	Hope everyone had a great Labor Day! We will be back in the distillery tomorrow for tours and tastings!
628552867419422720	jay-z	1	May the best of your today be the worse off your tomorrow - Jay-Z
641254843068379136	ipod	0	just synced saturday's live set on my ipod. time to pick up fragments of my memories together and cry on the train...
640679274035347456	eric church	1	My Saturday night with Eric Church http://t.co/AOKb8qTYT0
621019796780503040	conor mcgregor	1	"Conor McGregor's reaction to swirling Jose Aldo injury news: ""See you all on July 11th"" http://t.co/Fhi6Pns626 #MMA"
640662972298346496	mariah carey	-1	Please stop acting how if you were a Mariah Carey update account. https://t.co/lPdfLTUnsT
641491701429760004	nintendo	1	Is tomorrow's new Apple TV really a games console, and does it involve Nintendo?: And if there's one thing tha... http://t.co/lCd50kc2vc
628510843479552000	apple watch	1	Apple Watch is selling like hot popcorn at Yaya Centre. The half bald gringo with a long nose and sun-burned skin... http://t.co/nNTTcTXebH
640825170157039616	messi	1	@CulesAmericano Messi has the 6th best dribble succes rate (81%) in Europe's top 5 leagues this term of players to attempt 10+ dribbles
641475362313097216	google	-1	That moment when you think Google search ads for that distortion pedal showed up on your twitter feed. Nope. https://t.co/NVmKBn3pjO
641650074943139840	apple	1	Retweeted not Jony Ive (@JonyIveParody):  If you want to know what @Samsung will do tomorrow, tune in to Apple... http://t.co/qP3QP9ReN5
641462615076507648	chelsea	1	I am honored to say I drove Chelsea tonight may god bless @BallerJake
622608485704957952	angela merkel	1	@nytimes What the world needs is for Angela Merkel to kick him in the nuts the 1st time Trump calls anyone around the G8 table a loser.
640254516324106240	conor mcgregor	1	December 12th cant come fast enough. Conor McGregor is gonna put Jose Aldo where he needs to be.. Out of championship contention.
625442325234368512	galaxy note	1	Samsung's Galaxy Note 5 may not come with auto-ejectable S Pen - http://t.co/Hco3cPk4Lz
636662444077649920	joe biden	0	"@JenniferShutt @politico @mkraju ""Bennet later dodged a question about the possibility of a Joe Biden run"", 4th down eh? UR all hypocrites!"
640998783489216512	arsenal	1	@Khaleel yessir. Leaving the 2nd. A try get a ticket for the Arsenal match on the 4th
641023530243485697	donald trump	-1	@BBCNewsUS  CAN's Jerry may find a spot on Donald Trump's team in the US!  This guy is about at the same worse-than-awful level.Should fit.
641107786022174720	harper	0	@CBCPolitics Harper the CPC are going to become a 3rd place party because of your reckless leadership #stopharper #cdnpoli #elxn42
628914645307420672	jay-z	1	August 5th is Work Like a Dog Day. Because sometimes you just have to do what you have to do. Jay-Z said it well: can't knock the hustle!...
641581548349865984	iphone	1	If Apple is upgrading the camera on the iPhone 6s models, I seriously may upgrade...&amp; my phone isn't even 1yr old yet! #photographyproblems.
636008098767990784	ihop	1	$1 short stacks at IHOP tomorrow. Who wants to get pancakes with me?
630770168466178048	seinfeld	0	"""Seinfeld broke several conventions of mainstream television. It is often described as being ""a show about nothing"""" https://t.co/xl2ihfaiAp"
641436057083375616	netflix	0	I think I may actually be whipping through the Gilmore Girls series on Netflix too quickly... I'm gonna have to start over again!
641651844717088768	justin	1	I really wish I didn't have work or school tomorrow bc I'd so be in the city to see Justin right now fuck my life
641446328350863360	google	0	@WeeklyOptTrader be careful .. Google did break and hold on the upside the 50MA..  Will test that MA tomorrow.
636941776645947392	ibm	0	@widdowquinn Don't think was originally IBM branded, but still didn't want any weird 3rd party ant-virus like stuff meddling with my OS
639051256133255168	planned parenthood	-2	"Planned Parenthood Sells Intact Aborted Babies, One ""Just Fell Out"" of the Womb http://t.co/6ApZwGugHA"
641603995778293760	labor day	0	Sep 5: Roland and Hector, from Wellington FL, treated their boys to some Labor Day snapper fishing with Capt.... http://t.co/7ETci1LpOd
630379456331427840	lexus	1	@Head_Gunner Does Lexus truck Monday mean you got a Lexus this Monday?
635713078991032320	oracle	0	@kamixxo tickets are 60 or 114 but I'm getting the 114 oneeeee lol I just need to know who down frfr. December 5 at oracle
628297386679361537	erdogan	-1	@durdurulan Erdogan cannot be allowed to get away with what he is doing.He lost the June 7th election and now is seeking to undermine it all
640979637565194240	disneyland	1	And tomorrow she wants to go to the movies. And the day after I think we're going to Disneyland.
641294826164588544	chelsea	-1	Can't wait for Sat watch the blues smash that Chelsea shite then I'll be smashing it @versatiliy @24KitchenStreet get down after game people
630542330827771904	@microsoft	-1	Did @Microsoft break Windows 10? Was working fine on Wednesday but now I can't get passed the login screen without it freezing up.
621675525107544064	angela merkel	0	Young Palestinian asylum seeker breaks down when Angela Merkel explains to her why she can't stay in Germany http://t.co/eBekjTJeEF
641600528544235521	iphone	1	@richdemuro would you PLEASE let us know when the iPhone 6s will be available for purchase? Hoping before the 17th of September. Thanks!!
641437694602649600	hillary	1	I admire Hillary &amp; may even vote for her. But she so doesn't sound sorry. #email server
638825206325248000	michelle obama	1	If Kanye really did run for president Michelle Obama would still be the baddest 1st lady ever
622516531042328576	conor mcgregor	1	Strong rumours that Conor McGregor will fight Jose Aldo on the 5th of December in Texas #mcgregor #aldo #ufc #conormcgregorvjosealdo
640546960219467776	conor mcgregor	1	Conor McGregor is jokes man, he tears em all apart at that conference, looking forward to Dec. 12th
639589478638743552	federer	1	Darcis stops the bleeding by winning his 1st game since 1-0 in the first serve. Well, one kind of bleeding because Federer's still leading.
637760874107682816	federer	0	Federer Back For 16th US Open: Federer hopes his US Open first-round encounter against the Argentine goes much... http://t.co/CZmyueVEQS
640707899048726528	donald trump	0	topic: donald trump   question: will this be the 3rd question you answer?  #PRINCESSVICTORIATAKESOVER   @LOHANTHONY 2
637976948124160000	ios	0	@alexdong a follow-on guess might be that if you are female, with an iOS device, visiting the site, you may have more disposable income?
640673251153342464	chris brown	1	Tomorrow night everybody gone be that Chris brown picture on ig that says I don't want to go there because school the next day lol
639968942996385793	bentley	1	Women's Volleyball:  LIU Post 3, Bentley 0 (Final) Falcons fall in 3 despite 10 kills from Buscher. Back at it at 10 am tomorrow morning
641057513362862080	batman	1	@Jewchaynz it's different from comic club, because everyone loves Batman, but not may people walk around shooting fire balls. Ya know?
639354366143692800	ibm	0	IBM Collation C4090-451 Exam Question - IBM Certified Specialist C4090-451 play around with may endorsed... http://t.co/UBQf2DcWEl
632362695602245632	ac/dc	2	@annkillion Best day on the Green for me was Aerosmith, Foreigner, Pat Travers, Van Halen, AC/DC, (July 23, 1978).
640906361614794752	nintendo	0	@kirbybulborb yES! But it's odd.. The meeting with Shigeru was in July but Nintendo give them clarification to announce it now.. Pikmin 4-
641499415753027584	harry potter	0	does HP stand for Heather Palfreyman or Harry Potter. the world may never know
639533397921165312	barca	0	@FCBMJohnKJ psg could be the 2nd best team in the world behind Barcelona but they always get Barca lol, so we would never know
629747510442098689	amazon prime	1	I just cried at the Amazon Prime advert with the boy in the Superman outfit. Wild Friday night
640144610690371585	chris brown	0	dj khaled // hold you down ft. chris brown, august alsina, future, jeremih
637153299154604032	jeb bush	-1	@jimmykimmel Bring the HEAT. Get TOP draw guests against Colbert 1st week. 1st guest on Colbert = Jeb Bush - really? awful
640754584772853760	bernie sanders	-1	@SharylAttkisson We may not need Bernie Sanders after all. Because it appears America now reflects Scandinavian apathy more by the day.
623131052031262720	amazon prime day	0	http://t.co/0yYKgupOm0 Amazon Prime Day beat Black Friday, but did they make any money? via @SupplyChain247 #logistics #supplychain
636936698144821248	federer	1	@ViVi_RFObsessed Looks clear cut for Federer though. But 3 sets may be a critical   variable when he plays against Stan or Murray
640547283952513024	scotus	-1	1A: Congress can't make law preventing religious freedom, so SCOTUS interpretation unlawful Const Trumps case law https://t.co/f4LSUd5ENR
639658547467280384	batman	0	KEDAI KOMIK ONLINE EXCLUSIVE | For a limited time (September 4th - December 21st) the Batmobile from 'Batman v... http://t.co/jRJBuOd1Oz
634570385128710144	michelle obama	-1	@Matthops82 @nightowl197395 @sallykohn  Plus, it's Michelle Obama trying to pick what foods we can eat.  I may have read that wrong, though.
639372766198779904	michael jackson	1	Jay Z apparently joined Instagram on Saturday and posted a photo montage of himself with Michael Jackson, who would have been 57 years old.
641537106511204352	messi	1	Messi has registered back-to-back hat-tricks (3+ goals) for Barcelona for the 3rd time in his career
634926683284336640	@microsoft	-1	Now I'm trying to get to @MicrosoftHelps @Microsoft @Windows support online for about the 5th time.m
639002332219502592	amazon prime	0	Traveling just got a bit more pleasant for Amazon Prime subscribers. On Tuesday, the online retail giant announced&amp;nbsp;that it's now
641065427355832324	bbc	0	From the BBC:  Free childcare scheme 'may backfire' http://t.co/mtAzb9Ol4l
636880479631876096	joe biden	-2	@Chinese_Surfer @CNNPolitics @OutFrontCNN 1st, Clinton is the worst debater. 2nd, have you ever heard Joe Biden open his mouth? Hes a clown!
639859033969659904	joe biden	1	Joe Biden and Debbie Wasserman Schultz gush with praise for each other - Sun Sentinel http://t.co/qiOe4oLag2
635716786936221696	federer	1	"""Papa you need a hat"" thus said one of Federer's twin girls.......congrats again for winning Cinci for the 7th time @rogerfederer"
637992884495495169	ibm	1	// Apple follows IBM's marketing  to the letter. Will get business through hardware, software; or a new product  http://t.co/xqE5Ppp3jD
638155625059500032	sarah palin	0	"I love that Sarah Palin called Donald Trump ""avant garde."" I like to believe that Trump squints because he sees the truth like a sun."
641074986736832512	ipod	1	I wish I still had my iPod from ages ago. I had much better taste in music in the 8th grade
637658691651682304	planned parenthood	-1	.@tedcruz comes out swinging at Planned Parenthood re videos. Says on 1st day in office he wld instruct DOJ to investigate @PPact.
621340584804888578	amazon prime day	-1	Amazon Prime Day is just like Black Friday if you only buy bulk protein powder and will-making software on Black Friday.
639213159589507072	planned parenthood	-2	The future must not belong to the butchers of Planned Parenthood! 9th video http://t.co/P36CTMMnIQ via @wordpressdotcom
641323690416828416	donald trump	0	"""Republican front-runner Donald Trump said Friday he would consider allowing the U.S. to accept some of the displaced refugees."" Cuck."
636730819281747968	seinfeld	1	Which on its surface may seem counterintuitive, but the marginal utility of Seinfeld obviously increases at an increasing rate.
638895394576052224	sarah palin	1	August 28, 2015  'On Point' with Gov. Sarah Palin &amp; Donald Trump  https://t.co/mdvY3Lox4n
627274084947259392	fleetwood mac	1	Need Your Love So Bad by Fleetwood Mac is #nowplaying in The Sun, Lancaster.  Download it now at http://t.co/E10dPZUkNG
640378655299010564	scotus	-1	The SCOTUS claimed under the 14th amendment they could make the same sex marriage ruling. No matter how far you stretch it isn't there.
634733815177564160	ibm	1	@MarkBlackSpeaks congrats on your new life with Lungs beadonor #savealife #BeAHero. I have 2 many dx &amp; trying 2 get my IBM is 1st holding me
633700618562105345	eric church	-1	Yo, if you paid $57-$77 to go see Eric Church at the State Fair...may the Lord have mercy on your souls.
636881661267869696	nokia	0	Nokia n97 runt - bumper crop the whole exhilarated not to mention substantial wed exchange: WsPjEk
639281173621964800	jeb bush	-2	haha Jeb Bush is such a bore the guy in the background of this vid could totally not give a shit about this dirtbag. https://t.co/lQ57BgGTFg
